github repo,cve vendor,cve product
facebook/react,Facebook,React
tensorflow/tensorflow,Google,Tensorflow
torvalds/linux,Linux,Linux
Significant-Gravitas/AutoGPT,Significant-gravitas,Autogpt
flutter/flutter,Flutter,Flutter
microsoft/vscode,Microsoft,Vscode
huggingface/transformers,Huggingface,Transformers
golang/go,Golang,Go
facebook/react-native,Facebook,React-native
electron/electron,Electron,Electron
kubernetes/kubernetes,Kubernetes,Kubernetes
microsoft/PowerToys,Microsoft,Powertoys
Genymobile/scrcpy,REVISIT,REVISIT
nodejs/node,Nodejs,Node.js
rust-lang/rust,Rust-lang,Rust
microsoft/terminal,Microsoft,Terminal
denoland/deno,Deno,Deno
ollama/ollama,Ollama,Ollama
godotengine/godot,Godotengine,Godot
pytorch/pytorch,Linuxfoundation,Pytorch
neovim/neovim,Neovim,Neovim
bitcoin/bitcoin,Bitcoin,Bitcoin
opencv/opencv,Opencv,Opencv
oven-sh/bun,REVISIT,REVISIT
rustdesk/rustdesk,Rustdesk,Rustdesk
netdata/netdata,Netdata,Netdata
elastic/elasticsearch,Elasticsearch,Elasticsearch
nomic-ai/gpt4all,REVISIT,REVISIT
moby/moby,Mobyproject,Moby
swiftlang/swift,Apple,Swift
redis/redis,Redis,Redis
microsoft/playwright,Microsoft,REVISIT
protocolbuffers/protobuf,Google,Protobuf
ggerganov/llama.cpp,Ggerganov,Llama.cpp
python/cpython,Python,Cpython
twitter/the-algorithm,Twitter,Recommendation Algorithm
ventoy/Ventoy,REVISIT,REVISIT
tesseract-ocr/tesseract,Tesseract Ocr Project,Tesseract Ocr
ocornut/imgui,REVISIT,REVISIT
scikit-learn/scikit-learn,Scikit-learn,Scikit-learn
obsproject/obs-studio,REVISIT,REVISIT
Eugeny/tabby,REVISIT,REVISIT
danielmiessler/SecLists,REVISIT,REVISIT
AppFlowy-IO/AppFlowy,REVISIT,REVISIT
git/git,GIT,GIT
NationalSecurityAgency/ghidra,NSA,Ghidra
commaai/openpilot,REVISIT,REVISIT
JetBrains/kotlin,Jetbrains,Kotlin
topjohnwu/Magisk,REVISIT,REVISIT
ethereum/go-ethereum,Ethereum,Go Ethereum
zed-industries/zed,REVISIT,REVISIT
rclone/rclone,Rclone,Rclone
JuliaLang/julia,Julialang,Julia
laurent22/joplin,Joplinapp,Joplin
FFmpeg/FFmpeg,Ffmpeg,Ffmpeg
x64dbg/x64dbg,REVISIT,REVISIT
pandas-dev/pandas,Numfocus,Pandas
WerWolv/ImHex,REVISIT,REVISIT
PaddlePaddle/PaddleOCR,Paddlepaddle,REVISIT
localsend/localsend,REVISIT,REVISIT
grpc/grpc,Grpc,Grpc
nwjs/nw.js,Nwjs,Nw.js
fastlane/fastlane,REVISIT,REVISIT
apache/spark,Apache,Spark
Light-City/CPlusPlusThings,REVISIT,REVISIT
pyenv/pyenv,Pyenv,Pyenv
hpcaitech/ColossalAI,REVISIT,REVISIT
php/php-src,PHP,PHP
wg/wrk,REVISIT,REVISIT
google/styleguide,Google,REVISIT
QSCTech/zju-icicles,REVISIT,REVISIT
ClickHouse/ClickHouse,Yandex,Clickhouse
google/leveldb,Google,REVISIT
vim/vim,Vim,Vim
vlang/v,REVISIT,REVISIT
curl/curl,Curl,Curl
dotnet/aspnetcore,Microsoft,Aspnetcore
aria2/aria2,Aria2 Project,Aria2
termux/termux-app,REVISIT,REVISIT
microsoft/DeepSpeed,Microsoft,REVISIT
Ryujinx/Ryujinx,REVISIT,REVISIT
tmux/tmux,Tmux Project,Tmux
huihut/interview,REVISIT,REVISIT
ggerganov/whisper.cpp,Ggerganov,REVISIT
zhongyang219/TrafficMonitor,REVISIT,REVISIT
google/googletest,Google,REVISIT
google-research/google-research,REVISIT,REVISIT
files-community/Files,REVISIT,REVISIT
rapid7/metasploit-framework,Metasploit,Metasploit Framework
ziglang/zig,REVISIT,REVISIT
AFNetworking/AFNetworking,Afnetworking Project,Afnetworking
netty/netty,Netty,Netty
PKUanonym/REKCARC-TSC-UHT,REVISIT,REVISIT
ray-project/ray,Ray Project,RAY
XX-net/XX-Net,REVISIT,REVISIT
expo/expo,Expo,Expo
ccxt/ccxt,REVISIT,REVISIT
bilibili/ijkplayer,REVISIT,REVISIT
shadowsocks/ShadowsocksX-NG,Shadowsocks,Shadowsocksx-ng
carbon-language/carbon-lang,REVISIT,REVISIT
logseq/logseq,REVISIT,REVISIT
sqlmapproject/sqlmap,REVISIT,REVISIT
hasura/graphql-engine,Hasura,Graphql Engine
spacedriveapp/spacedrive,REVISIT,REVISIT
doocs/leetcode,REVISIT,REVISIT
microsoft/MS-DOS,Microsoft,Ms-dos
facebookresearch/faiss,REVISIT,REVISIT
SerenityOS/serenity,Serenityos,Serenityos
SeleniumHQ/selenium,Selenium,Selenium
jqlang/jq,Jqlang,JQ