vendor,product,result
freebsd,freebsd,"{""description"": ""The FreeBSD src tree publish-only repository. Experimenting with 'simple' pull requests...."", ""createdAt"": ""2011-09-05T12:55:55Z"", ""homepageUrl"": ""https://www.FreeBSD.org"", ""diskUsage"": 3221593}"
jgaa,warftpd,"{""description"": ""High performance file sharing service"", ""createdAt"": ""2017-10-19T11:50:24Z"", ""homepageUrl"": null, ""diskUsage"": 91}"
unix,unix,"{""description"": null, ""createdAt"": ""2020-07-09T00:55:26Z"", ""homepageUrl"": null, ""diskUsage"": 3}"
openssl,openssl,"{""description"": ""TLS/SSL and crypto library"", ""createdAt"": ""2013-01-15T22:34:48Z"", ""homepageUrl"": ""https://www.openssl.org"", ""diskUsage"": 289989}"
gnome,gdm,"{""description"": ""Read-only mirror of https://gitlab.gnome.org/GNOME/gdm"", ""createdAt"": ""2012-06-02T23:00:54Z"", ""homepageUrl"": ""https://gitlab.gnome.org/GNOME/gdm"", ""diskUsage"": 45667}"
webmin,webmin,"{""description"": ""Powerful and flexible web-based server management control panel"", ""createdAt"": ""2009-07-20T22:03:42Z"", ""homepageUrl"": ""http://www.webmin.com/"", ""diskUsage"": 120086}"
nlog,nlog,"{""description"": ""NLog - Flexible and Structured Logging for various .NET Platforms"", ""createdAt"": ""2012-09-12T13:49:29Z"", ""homepageUrl"": ""https://nlog-project.org"", ""diskUsage"": 117860}"
hylafax,hylafax,"{""description"": ""HylaFAX Software"", ""createdAt"": ""2010-08-05T16:32:58Z"", ""homepageUrl"": ""http://www.hylafax.org"", ""diskUsage"": 6109}"
glftpd,glftpd,"{""description"": null, ""createdAt"": ""2015-12-04T20:59:41Z"", ""homepageUrl"": null, ""diskUsage"": 0}"
lcdproc,lcdproc,"{""description"": ""Client/server suite for controlling a wide variety of LCD devices"", ""createdAt"": ""2016-07-22T10:13:59Z"", ""homepageUrl"": ""http://lcdproc.org/"", ""diskUsage"": 4354}"
openldap,openldap,"{""description"": ""Mirror of OpenLDAP repository"", ""createdAt"": ""2016-04-27T16:53:11Z"", ""homepageUrl"": ""http://www.openldap.org/devel/contributing.html"", ""diskUsage"": 55891}"
mozilla,bugzilla,"{""description"": ""bugzilla.mozilla.org source - report issues here: https://bugzilla.mozilla.org/enter_bug.cgi?product=bugzilla.mozilla.org"", ""createdAt"": ""2014-03-12T01:03:55Z"", ""homepageUrl"": ""https://bugzilla.mozilla.org"", ""diskUsage"": 66466}"
imp,imp,"{""description"": null, ""createdAt"": ""2023-11-25T12:55:27Z"", ""homepageUrl"": null, ""diskUsage"": 3}"
icq,icq,"{""description"": ""icq"", ""createdAt"": ""2010-09-01T15:24:09Z"", ""homepageUrl"": ""http://icq.github.com"", ""diskUsage"": 48}"
apache,tomcat,"{""description"": ""Apache Tomcat"", ""createdAt"": ""2011-10-01T07:00:19Z"", ""homepageUrl"": ""https://tomcat.apache.org"", ""diskUsage"": 180455}"
horde,horde,"{""description"": ""This is the old, deprecated, monolith Horde repository, archived here for historical reasons."", ""createdAt"": ""2010-08-28T22:06:38Z"", ""homepageUrl"": ""http://www.horde.org/"", ""diskUsage"": 315810}"
horde,imp,"{""description"": ""A web based webmail system"", ""createdAt"": ""2017-10-03T15:32:03Z"", ""homepageUrl"": ""https://www.horde.org/apps/imp"", ""diskUsage"": 29587}"
balabit,syslog-ng,"{""description"": ""syslog-ng is an enhanced log daemon, supporting a wide range of input and output methods: syslog, unstructured text, queueing, SQL & NoSQL."", ""createdAt"": ""2013-11-05T16:22:02Z"", ""homepageUrl"": ""https://www.syslog-ng.com"", ""diskUsage"": 40811}"
iputils,iputils,"{""description"": ""The iputils package is set of small old utilities for Linux networking."", ""createdAt"": ""2014-04-18T12:14:53Z"", ""homepageUrl"": """", ""diskUsage"": 3692}"
gnome,gtk,"{""description"": ""Read-only mirror of https://gitlab.gnome.org/GNOME/gtk"", ""createdAt"": ""2012-06-03T13:03:40Z"", ""homepageUrl"": ""https://gitlab.gnome.org/GNOME/gtk"", ""diskUsage"": 733984}"
tinyproxy,tinyproxy,"{""description"": ""tinyproxy - a light-weight HTTP/HTTPS proxy daemon for POSIX operating systems"", ""createdAt"": ""2015-12-07T14:11:44Z"", ""homepageUrl"": null, ""diskUsage"": 2035}"
proftpd,proftpd,"{""description"": ""ProFTPD source code"", ""createdAt"": ""2014-05-16T16:22:01Z"", ""homepageUrl"": ""http://www.proftpd.org"", ""diskUsage"": 76479}"
phpmyadmin,phpmyadmin,"{""description"": ""A web interface for MySQL and MariaDB"", ""createdAt"": ""2012-01-19T13:21:52Z"", ""homepageUrl"": ""https://www.phpmyadmin.net/"", ""diskUsage"": 2220702}"
phppgadmin,phppgadmin,"{""description"": ""the premier web-based administration tool for postgresql"", ""createdAt"": ""2011-02-12T21:22:31Z"", ""homepageUrl"": ""https://github.com/phppgadmin/phppgadmin"", ""diskUsage"": 12681}"
sane,sane,"{""description"": ""Sane Stack - A Sails and Ember cli to get you kickstarted with app development"", ""createdAt"": ""2014-08-12T12:23:53Z"", ""homepageUrl"": ""http://sanestack.com/"", ""diskUsage"": 1912}"
phpbb,phpbb,"{""description"": "" phpBB Development: phpBB is a popular open-source bulletin board written in PHP. This repository also contains the history of version 2."", ""createdAt"": ""2010-03-01T22:33:17Z"", ""homepageUrl"": ""https://www.phpbb.com"", ""diskUsage"": 92952}"
atheos,atheos,"{""description"": ""A self-hosted browser-based cloud IDE, updated from Codiad IDE"", ""createdAt"": ""2019-09-15T15:13:33Z"", ""homepageUrl"": ""https://www.atheos.io/"", ""diskUsage"": 22427}"
ettercap,ettercap,"{""description"": ""Ettercap Project"", ""createdAt"": ""2012-07-14T02:50:27Z"", ""homepageUrl"": ""http://www.ettercap-project.org"", ""diskUsage"": 91686}"
gator,gator,"{""description"": null, ""createdAt"": ""2022-06-13T22:15:06Z"", ""homepageUrl"": ""https://gator.sh"", ""diskUsage"": 60791}"
xerver,xerver,"{""description"": ""Config files for my GitHub profile."", ""createdAt"": ""2021-11-02T17:13:00Z"", ""homepageUrl"": ""https://github.com/Xerver"", ""diskUsage"": 0}"
listar,listar,"{""description"": ""\u4e2a\u4eba\u4ecb\u7ecd"", ""createdAt"": ""2021-05-31T12:14:28Z"", ""homepageUrl"": null, ""diskUsage"": 6}"
inn,inn,"{""description"": ""WordPress child theme for INN.org. Requires Largo parent theme (https://github.com/INN/largo)"", ""createdAt"": ""2013-07-18T16:49:13Z"", ""homepageUrl"": ""https://inn.org"", ""diskUsage"": 50351}"
postboard,postboard,"{""description"": ""Post Board"", ""createdAt"": ""2015-06-13T07:46:34Z"", ""homepageUrl"": null, ""diskUsage"": 0}"
distrotech,cvs,"{""description"": null, ""createdAt"": ""2013-06-19T13:35:25Z"", ""homepageUrl"": null, ""diskUsage"": 4816}"
seanox,devwex,"{""description"": ""Minimalist experimental server engine with a modular architecture"", ""createdAt"": ""2014-03-09T09:20:05Z"", ""homepageUrl"": """", ""diskUsage"": 8710}"
kde,konqueror,"{""description"": ""Web browser and Swiss Army knife for any kind of file management and previewing"", ""createdAt"": ""2016-11-05T12:57:20Z"", ""homepageUrl"": ""https://invent.kde.org/network/konqueror"", ""diskUsage"": 198950}"
irssi,irssi,"{""description"": ""The client of the future"", ""createdAt"": ""2014-05-30T22:11:55Z"", ""homepageUrl"": ""https://irssi.org"", ""diskUsage"": 8634}"
libesmtp,libesmtp,"{""description"": ""Official libESMTP repository."", ""createdAt"": ""2020-06-29T14:14:38Z"", ""homepageUrl"": ""https://libesmtp.github.io/"", ""diskUsage"": 687}"
mantis,mantis,"{""description"": null, ""createdAt"": ""2021-01-17T15:44:42Z"", ""homepageUrl"": null, ""diskUsage"": 1}"
net-snmp,net-snmp,"{""description"": ""A SNMP application library, tools and daemon"", ""createdAt"": ""2018-04-09T19:19:27Z"", ""homepageUrl"": null, ""diskUsage"": 75393}"
apple,cups,"{""description"": ""Apple CUPS Sources"", ""createdAt"": ""2015-10-12T22:33:18Z"", ""homepageUrl"": ""https://www.cups.org"", ""diskUsage"": 105752}"
geneweb,geneweb,"{""description"": ""GeneWeb is a free (as in free speech) genealogy software with a web interface created by Daniel de Rauglaudre."", ""createdAt"": ""2013-11-12T08:45:43Z"", ""homepageUrl"": """", ""diskUsage"": 82312}"
dotproject,dotproject,"{""description"": ""Stable 2 series"", ""createdAt"": ""2013-07-26T04:41:58Z"", ""homepageUrl"": null, ""diskUsage"": 14839}"
scponly,scponly,"{""description"": ""The scponly pseudo-shell provides a file-transfer only shell for *Nix systems with optional support for using a chrooted environment."", ""createdAt"": ""2011-10-10T19:02:45Z"", ""homepageUrl"": """", ""diskUsage"": 947}"
vendor,product,result
scponly,scponly,"{""description"": ""The scponly pseudo-shell provides a file-transfer only shell for *Nix systems with optional support for using a chrooted environment."", ""createdAt"": ""2011-10-10T19:02:45Z"", ""homepageUrl"": """", ""diskUsage"": 947}"
monkey-project,monkey,"{""description"": null, ""createdAt"": ""2018-07-27T21:03:55Z"", ""homepageUrl"": null, ""diskUsage"": 10305}"
newsx,newsx,"{""description"": null, ""createdAt"": ""2017-01-27T12:13:37Z"", ""homepageUrl"": null, ""diskUsage"": 0}"
drupal,drupal,"{""description"": ""Verbatim mirror of the git.drupal.org repository for Drupal core. Please see the https://github.com/drupal/drupal#contributing. PRs are not accepted on GitHub."", ""createdAt"": ""2009-01-04T13:53:32Z"", ""homepageUrl"": ""https://drupal.org/project/drupal"", ""diskUsage"": 398188}"
perlbot,perlbot,"{""description"": ""github pages repo for perlbot"", ""createdAt"": ""2021-06-01T12:23:29Z"", ""homepageUrl"": ""https://perlbot.github.io/"", ""diskUsage"": 11061}"
alsaplayer,alsaplayer,"{""description"": ""AlsaPlayer"", ""createdAt"": ""2011-03-19T07:52:53Z"", ""homepageUrl"": ""http://alsaplayer.sourceforge.net/"", ""diskUsage"": 4407}"
pen,pen,"{""description"": null, ""createdAt"": ""2020-07-05T05:51:33Z"", ""homepageUrl"": null, ""diskUsage"": 3}"
balasys,dheater,"{""description"": ""D(HE)ater is a proof of concept implementation of the D(HE)at  attack (CVE-2002-20001) through which denial-of-service can be performed by enforcing the Diffie-Hellman key exchange. (read-only clone of the original GitLab project)"", ""createdAt"": ""2021-08-31T09:51:12Z"", ""homepageUrl"": ""https://dheatattack.com"", ""diskUsage"": 70}"
nylon,nylon,"{""description"": ""Config files for my GitHub profile."", ""createdAt"": ""2021-11-19T17:35:22Z"", ""homepageUrl"": ""https://github.com/nylon"", ""diskUsage"": 3}"
mailscanner,mailscanner,"{""description"": null, ""createdAt"": ""2012-02-01T17:08:26Z"", ""homepageUrl"": ""http://www.mailscanner.info/"", ""diskUsage"": 112855}"
socks5,socks5,"{""description"": ""Config files for my GitHub profile."", ""createdAt"": ""2021-04-26T18:54:07Z"", ""homepageUrl"": ""https://github.com/Socks5"", ""diskUsage"": 0}"
mozilla,firefox,"{""description"": ""The official repository of Mozilla's Firefox web browser."", ""createdAt"": ""2024-07-30T01:51:51Z"", ""homepageUrl"": ""https://www.firefox.com/"", ""diskUsage"": 3996909}"
noffle,noffle,"{""description"": ""yee-haw"", ""createdAt"": ""2021-01-30T19:17:50Z"", ""homepageUrl"": null, ""diskUsage"": 3}"
plptools,plptools,"{""description"": ""Tools for connection to EPOC devices"", ""createdAt"": ""2015-06-16T08:57:10Z"", ""homepageUrl"": """", ""diskUsage"": 2633}"
file,file,"{""description"": ""Read-only mirror of file CVS repository, updated every half hour. NOTE: do not make pull requests here, nor comment any commits, submit them usual way to bug tracker or to the mailing list. Maintainer(s) are not tracking  this git mirror."", ""createdAt"": ""2011-01-28T15:20:14Z"", ""homepageUrl"": ""http://www.darwinsys.com/file/"", ""diskUsage"": 12117}"
gnome,eog,"{""description"": ""Read-only mirror of https://gitlab.gnome.org/GNOME/eog"", ""createdAt"": ""2012-06-02T23:53:14Z"", ""homepageUrl"": ""https://gitlab.gnome.org/GNOME/eog"", ""diskUsage"": 40944}"
firebirdsql,firebird,"{""description"": ""Firebird server, client and tools"", ""createdAt"": ""2016-03-16T06:10:37Z"", ""homepageUrl"": ""https://firebirdsql.org"", ""diskUsage"": 293521}"
rinetd,rinetd,"{""description"": ""TCP/UDP port redirector"", ""createdAt"": ""2017-12-20T09:54:28Z"", ""homepageUrl"": """", ""diskUsage"": 169}"
kde,kopete,"{""description"": ""Flexible multi-protocol instant messenger for personal and enterprise use"", ""createdAt"": ""2015-09-18T16:57:27Z"", ""homepageUrl"": ""https://invent.kde.org/network/kopete"", ""diskUsage"": 74796}"
nethack,nethack,"{""description"": ""Official NetHack Git Repository"", ""createdAt"": ""2015-12-08T02:33:01Z"", ""homepageUrl"": """", ""diskUsage"": 161248}"
phpsysinfo,phpsysinfo,"{""description"": ""phpSysInfo: a customizable PHP script that displays information about your system nicely"", ""createdAt"": ""2012-08-27T11:13:28Z"", ""homepageUrl"": ""http://phpsysinfo.github.io/phpsysinfo"", ""diskUsage"": 11109}"
mozart,mozart,"{""description"": null, ""createdAt"": ""2011-02-17T15:14:10Z"", ""homepageUrl"": """", ""diskUsage"": 317206}"
imagemagick,imagemagick,"{""description"": ""ImageMagick is a free, open-source software suite for creating, editing, converting, and displaying images. It supports 200+ formats and offers powerful command-line tools and APIs for automation, scripting, and integration across platforms."", ""createdAt"": ""2015-05-17T20:07:50Z"", ""homepageUrl"": ""https://imagemagick.org"", ""diskUsage"": 181567}"
sup,sup,"{""description"": ""\u2728 important"", ""createdAt"": ""2020-07-09T02:48:52Z"", ""homepageUrl"": """", ""diskUsage"": 5}"
atari800,atari800,"{""description"": ""Atari 8-bit computer and 5200 console emulator"", ""createdAt"": ""2017-08-03T16:08:17Z"", ""homepageUrl"": ""https://atari800.github.io/"", ""diskUsage"": 5920}"
quagga,quagga,"{""description"": ""Quagga Tracking repository - Master is at http://git.savannah.gnu.org/cgit/quagga.git"", ""createdAt"": ""2012-02-17T13:22:22Z"", ""homepageUrl"": ""http://www.nongnu.org/quagga/"", ""diskUsage"": 15513}"
conquest,conquest,"{""description"": ""A territory conquest game"", ""createdAt"": ""2017-06-15T03:50:47Z"", ""homepageUrl"": """", ""diskUsage"": 242}"
ibm,db2,"{""description"": ""Db2 Universal Container deployment"", ""createdAt"": ""2019-11-20T00:34:48Z"", ""homepageUrl"": """", ""diskUsage"": 136}"
musicqueue,musicqueue,"{""description"": ""MusicQueue Android app. A crowd sourced music playlist service."", ""createdAt"": ""2019-10-20T19:12:21Z"", ""homepageUrl"": ""https://musicqueue.github.io/"", ""diskUsage"": 1074}"
apache,cocoon,"{""description"": ""Mirror of Apache Cocoon"", ""createdAt"": ""2009-05-21T02:12:25Z"", ""homepageUrl"": null, ""diskUsage"": 364832}"
phpkit,phpkit,"{""description"": null, ""createdAt"": ""2015-02-17T17:39:24Z"", ""homepageUrl"": null, ""diskUsage"": 0}"
e107,e107,"{""description"": ""e107 repo"", ""createdAt"": ""2010-08-25T19:33:37Z"", ""homepageUrl"": ""http://e107club.ru"", ""diskUsage"": 8660}"
mysql,mysql,"{""description"": ""Dockerfiles and scripts for MySQL products"", ""createdAt"": ""2015-02-25T14:42:11Z"", ""homepageUrl"": """", ""diskUsage"": 669}"
dbmail,dbmail,"{""description"": ""DBMail: fast and scalable email services"", ""createdAt"": ""2017-03-26T09:49:55Z"", ""homepageUrl"": ""https://dbmail.org"", ""diskUsage"": 18856}"
wordpress,wordpress,"{""description"": ""WordPress, Git-ified. This repository is just a mirror of the WordPress subversion repository. Please do not send pull requests. Submit pull requests to https://github.com/WordPress/wordpress-develop and patches to https://core.trac.wordpress.org/ instead."", ""createdAt"": ""2011-12-01T07:05:17Z"", ""homepageUrl"": ""https://wordpress.org"", ""diskUsage"": 544861}"
sysstat,sysstat,"{""description"": ""Performance monitoring tools for Linux"", ""createdAt"": ""2013-04-25T11:23:10Z"", ""homepageUrl"": ""https://sysstat.github.io/"", ""diskUsage"": 11056}"
caucho,resin,"{""description"": ""Caucho Resin is the next generation Java EE (WebProfile) Application Server"", ""createdAt"": ""2010-12-27T01:07:46Z"", ""homepageUrl"": ""http://www.caucho.com/resin/"", ""diskUsage"": 48}"
freechat,freechat,"{""description"": ""Freechat is an app were u can chat with people around the world for free."", ""createdAt"": ""2014-06-05T01:48:25Z"", ""homepageUrl"": null, ""diskUsage"": 0}"
pam-pgsql,pam-pgsql,"{""description"": ""Support to authenticate against PostgreSQL for PAM-enabled appliations"", ""createdAt"": ""2014-10-02T14:55:31Z"", ""homepageUrl"": """", ""diskUsage"": 197}"
distcc,distcc,"{""description"": ""distributed builds for C, C++ and Objective C"", ""createdAt"": ""2015-06-06T00:52:43Z"", ""homepageUrl"": """", ""diskUsage"": 18558}"
ircd-ratbox,ircd-ratbox,"{""description"": null, ""createdAt"": ""2019-11-14T14:22:05Z"", ""homepageUrl"": null, ""diskUsage"": 0}"
ntp,ntp,"{""description"": ""The Reference Implementation from the Network Time Protocol Project"", ""createdAt"": ""2016-03-31T20:44:00Z"", ""homepageUrl"": null, ""diskUsage"": 72473}"
moodle,moodle,"{""description"": ""Moodle - the world's open source learning platform"", ""createdAt"": ""2009-12-16T23:01:23Z"", ""homepageUrl"": ""https://moodle.org/"", ""diskUsage"": 873134}"
proxytunnel,proxytunnel,"{""description"": ""Stealth tunneling through HTTP(S) proxies"", ""createdAt"": ""2012-08-24T23:12:02Z"", ""homepageUrl"": ""http://proxytunnel.sf.net/"", ""diskUsage"": 437}"
gentoo,mirrorselect,"{""description"": ""[MIRROR] Tool to help select distfiles mirrors for Gentoo"", ""createdAt"": ""2023-08-07T02:56:49Z"", ""homepageUrl"": null, ""diskUsage"": 233}"
phpcms,phpcms,"{""description"": ""open source php cms"", ""createdAt"": ""2012-07-28T07:48:46Z"", ""homepageUrl"": null, ""diskUsage"": 100}"
2fax,2fax,"{""description"": ""Config files for my GitHub profile."", ""createdAt"": ""2023-06-08T18:03:43Z"", ""homepageUrl"": ""https://github.com/2Fax"", ""diskUsage"": 0}"
mediawiki,mediawiki,"{""description"": ""\ud83c\udf3b The collaborative editing software that runs Wikipedia. Mirror\u00a0from\u00a0https://gerrit.wikimedia.org/g/mediawiki/core. See\u00a0https://mediawiki.org/wiki/Developer_access for\u00a0contributing."", ""createdAt"": ""2012-11-01T19:03:08Z"", ""homepageUrl"": ""https://www.mediawiki.org"", ""diskUsage"": 2381782}"
php-calendar,php-calendar,"{""description"": ""PHP-Calendar"", ""createdAt"": ""2016-01-07T18:21:44Z"", ""homepageUrl"": ""http://www.php-calendar.org/"", ""diskUsage"": 3267}"
roundup-tracker,roundup,"{""description"": ""Mirror of http://hg.code.sf.net/p/roundup/code  --  used for CI. Please visit https://issues.roundup-tracker.org to find starter issues or log new issues."", ""createdAt"": ""2015-09-04T03:49:51Z"", ""homepageUrl"": ""https://www.roundup-tracker.org/"", ""diskUsage"": 44286}"
egroupware,egroupware,"{""description"": ""Web based groupware server written in PHP, forum at https://help.egroupware.org/"", ""createdAt"": ""2016-05-12T11:53:59Z"", ""homepageUrl"": ""https://www.egroupware.org/"", ""diskUsage"": 169880}"
s9y,serendipity,"{""description"": ""A PHP blog software"", ""createdAt"": ""2011-10-22T17:45:17Z"", ""homepageUrl"": ""https://s9y.org"", ""diskUsage"": 57209}"
pgina,pgina,"{""description"": ""pGina: Open Source Windows Authentication"", ""createdAt"": ""2011-08-26T03:29:15Z"", ""homepageUrl"": ""http://pgina.org"", ""diskUsage"": 12727}"
sympa,sympa,"{""description"": ""The Ultimate Open Source Mailing List"", ""createdAt"": ""2009-11-25T02:10:35Z"", ""homepageUrl"": ""http://www.sympa.org/"", ""diskUsage"": 4436}"
bblog,bblog,"{""description"": null, ""createdAt"": ""2019-11-12T14:44:29Z"", ""homepageUrl"": null, ""diskUsage"": 85}"
linpha,linpha,"{""description"": ""Config files for my GitHub profile."", ""createdAt"": ""2024-06-20T06:44:33Z"", ""homepageUrl"": ""https://github.com/linpha"", ""diskUsage"": 0}"
jaws,jaws,"{""description"": ""Justified Automated Weather Station (JAWS) Database Software"", ""createdAt"": ""2017-10-09T16:17:02Z"", ""homepageUrl"": """", ""diskUsage"": 1250}"
freesco,freesco,"{""description"": null, ""createdAt"": ""2020-07-11T08:22:29Z"", ""homepageUrl"": null, ""diskUsage"": 0}"
latex2rtf,latex2rtf,"{""description"": ""converter from LaTeX to rtf"", ""createdAt"": ""2024-07-24T11:27:24Z"", ""homepageUrl"": null, ""diskUsage"": 6790}"
ychat,ychat,"{""description"": ""ychat is a distributed IM system."", ""createdAt"": ""2016-09-20T09:14:12Z"", ""homepageUrl"": """", ""diskUsage"": 181}"
playsms,playsms,"{""description"": ""playSMS is a web interface for SMS gateways and bulk SMS services"", ""createdAt"": ""2010-10-08T10:05:31Z"", ""homepageUrl"": ""https://www.playsms.org"", ""diskUsage"": 30801}"
