github repo,cve vendor,cve product,cve ids
phpmyadmin/phpmyadmin,phpmyadmin,phpmyadmin,CVE-2001-0478 CVE-2001-1060 CVE-2004-0129 CVE-2004-1055 CVE-2004-1147 CVE-2004-1148 CVE-2004-2630 CVE-2004-2631 CVE-2004-2632 CVE-2005-0459 CVE-2005-0543 CVE-2005-0544 CVE-2005-0567 CVE-2005-0653 CVE-2005-0992 CVE-2005-1392 CVE-2005-2869 CVE-2005-3299 CVE-2005-3300 CVE-2005-3301 CVE-2005-3621 CVE-2005-3622 CVE-2005-3665 CVE-2005-3787 CVE-2005-4079 CVE-2005-4349 CVE-2005-4450 CVE-2006-1258 CVE-2006-1678 CVE-2006-1803 CVE-2006-1804 CVE-2006-2031 CVE-2006-2417 CVE-2006-2418 CVE-2006-3388 CVE-2006-5116 CVE-2006-5117 CVE-2006-5718 CVE-2006-6373 CVE-2006-6374 CVE-2006-6942 CVE-2006-6943 CVE-2006-6944 CVE-2007-0095 CVE-2007-0203 CVE-2007-0204 CVE-2007-0341 CVE-2007-1325 CVE-2007-1395 CVE-2007-2016 CVE-2007-2245 CVE-2007-4306 CVE-2007-5386 CVE-2007-5589 CVE-2007-5976 CVE-2007-5977 CVE-2007-6100 CVE-2008-1149 CVE-2008-1567 CVE-2008-1924 CVE-2008-2960 CVE-2008-3197 CVE-2008-3456 CVE-2008-3457 CVE-2008-4096 CVE-2008-4326 CVE-2008-4775 CVE-2008-5621 CVE-2008-7251 CVE-2008-7252 CVE-2009-1148 CVE-2009-1149 CVE-2009-1150 CVE-2009-1151 CVE-2009-1285 CVE-2009-2284 CVE-2009-3696 CVE-2009-3697 CVE-2009-4605 CVE-2010-2958 CVE-2010-3055 CVE-2010-3056 CVE-2010-3263 CVE-2010-4329 CVE-2010-4480 CVE-2010-4481 CVE-2011-0986 CVE-2011-0987 CVE-2011-1940 CVE-2011-1941 CVE-2011-2505 CVE-2011-2506 CVE-2011-2507 CVE-2011-2508 CVE-2011-2642 CVE-2011-2643 CVE-2011-2718 CVE-2011-2719 CVE-2011-3181 CVE-2011-3591 CVE-2011-3592 CVE-2011-3646 CVE-2011-4064 CVE-2011-4107 CVE-2011-4634 CVE-2011-4780 CVE-2011-4782 CVE-2012-1190 CVE-2012-1902 CVE-2012-4219 CVE-2012-4345 CVE-2012-4579 CVE-2012-5159 CVE-2012-5339 CVE-2012-5368 CVE-2012-5469 CVE-2013-1937 CVE-2013-3238 CVE-2013-3239 CVE-2013-3240 CVE-2013-3241 CVE-2013-3742 CVE-2013-4729 CVE-2013-4995 CVE-2013-4996 CVE-2013-4997 CVE-2013-4998 CVE-2013-4999 CVE-2013-5000 CVE-2013-5001 CVE-2013-5002 CVE-2013-5003 CVE-2013-5029 CVE-2014-1879 CVE-2014-4348 CVE-2014-4349 CVE-2014-4954 CVE-2014-4955 CVE-2014-4986 CVE-2014-4987 CVE-2014-5273 CVE-2014-5274 CVE-2014-6300 CVE-2014-7217 CVE-2014-8326 CVE-2014-8958 CVE-2014-8959 CVE-2014-8960 CVE-2014-8961 CVE-2014-9218 CVE-2014-9219 CVE-2015-2206 CVE-2015-3902 CVE-2015-3903 CVE-2015-6830 CVE-2015-7873 CVE-2015-8669 CVE-2016-1927 CVE-2016-2038 CVE-2016-2039 CVE-2016-2040 CVE-2016-2041 CVE-2016-2042 CVE-2016-2043 CVE-2016-2044 CVE-2016-2045 CVE-2016-2559 CVE-2016-2560 CVE-2016-2561 CVE-2016-2562 CVE-2016-4412 CVE-2016-5097 CVE-2016-5098 CVE-2016-5099 CVE-2016-5701 CVE-2016-5702 CVE-2016-5703 CVE-2016-5704 CVE-2016-5705 CVE-2016-5706 CVE-2016-5730 CVE-2016-5731 CVE-2016-5732 CVE-2016-5733 CVE-2016-5734 CVE-2016-5739 CVE-2016-6606 CVE-2016-6607 CVE-2016-6608 CVE-2016-6609 CVE-2016-6610 CVE-2016-6611 CVE-2016-6612 CVE-2016-6613 CVE-2016-6614 CVE-2016-6615 CVE-2016-6616 CVE-2016-6617 CVE-2016-6618 CVE-2016-6619 CVE-2016-6620 CVE-2016-6621 CVE-2016-6622 CVE-2016-6623 CVE-2016-6624 CVE-2016-6625 CVE-2016-6626 CVE-2016-6627 CVE-2016-6628 CVE-2016-6629 CVE-2016-6630 CVE-2016-6631 CVE-2016-6632 CVE-2016-6633 CVE-2016-9847 CVE-2016-9848 CVE-2016-9849 CVE-2016-9850 CVE-2016-9851 CVE-2016-9852 CVE-2016-9853 CVE-2016-9854 CVE-2016-9855 CVE-2016-9856 CVE-2016-9857 CVE-2016-9858 CVE-2016-9859 CVE-2016-9860 CVE-2016-9861 CVE-2016-9862 CVE-2016-9863 CVE-2016-9864 CVE-2016-9865 CVE-2016-9866 CVE-2017-1000013 CVE-2017-1000014 CVE-2017-1000015 CVE-2017-1000016 CVE-2017-1000017 CVE-2017-1000018 CVE-2017-1000499 CVE-2017-18264 CVE-2018-10188 CVE-2018-12581 CVE-2018-12613 CVE-2018-15605 CVE-2018-19968 CVE-2018-19969 CVE-2018-19970 CVE-2018-7260 CVE-2019-11768 CVE-2019-12616 CVE-2019-12922 CVE-2019-18622 CVE-2019-19617 CVE-2019-6798 CVE-2019-6799 CVE-2020-10802 CVE-2020-10803 CVE-2020-10804 CVE-2020-11441 CVE-2020-22278 CVE-2020-22452 CVE-2020-26934 CVE-2020-26935 CVE-2020-5504 CVE-2022-0813 CVE-2022-23807 CVE-2022-23808
phppgadmin/phppgadmin,phppgadmin,phppgadmin,CVE-2001-0479 CVE-2005-2256 CVE-2007-2865 CVE-2007-5728 CVE-2008-5587 CVE-2011-3598
sane/sane,sane,sane,CVE-2001-0890 CVE-2003-0773 CVE-2003-0774 CVE-2003-0775 CVE-2003-0776 CVE-2003-0777 CVE-2003-0778
phpbb/phpbb,phpbb,phpbb,CVE-2001-1471 CVE-2002-2255 CVE-2002-2346 CVE-2003-1530 CVE-2006-2220 CVE-2006-5191 CVE-2006-7168 CVE-2007-4653 CVE-2007-4984 CVE-2007-5173 CVE-2007-5688 CVE-2008-0471 CVE-2008-1305 CVE-2008-1766 CVE-2008-3224 CVE-2008-4125 CVE-2008-6301 CVE-2008-6314 CVE-2008-6506 CVE-2008-6507 CVE-2008-7143 CVE-2009-3052 CVE-2010-1627 CVE-2010-1630 CVE-2011-0544 CVE-2015-1431 CVE-2015-1432 CVE-2015-3880 CVE-2017-1000419 CVE-2018-19274 CVE-2019-11767 CVE-2019-13376 CVE-2019-16107 CVE-2019-16108 CVE-2019-16993 CVE-2019-9826 CVE-2020-5501 CVE-2020-5502 CVE-2020-8226
atheos/Atheos,atheos,atheos,CVE-2002-0244
ettercap/ettercap,ettercap,ettercap,CVE-2002-0276 CVE-2005-1796
gator/gator,gator,gator,CVE-2002-0317
xerver/xerver,xerver,xerver,CVE-2002-0447 CVE-2002-0448 CVE-2005-3293 CVE-2005-4774 CVE-2009-3544 CVE-2009-3561 CVE-2009-3562
listar/listar,listar,listar,CVE-2002-0467 CVE-2002-0468 CVE-2002-0469
inn/inn,inn,inn,CVE-2002-0526
postboard/postboard,postboard,postboard,CVE-2002-0534 CVE-2002-0535
distrotech/cvs,distrotech,cvs,CVE-2002-0844
seanox/devwex,seanox,devwex,CVE-2002-0945 CVE-2002-0946
kde/konqueror,kde,konqueror,CVE-2002-0970 CVE-2002-1151 CVE-2003-0459 CVE-2003-0592 CVE-2003-1478 CVE-2004-0411 CVE-2004-0527 CVE-2004-0721 CVE-2004-0746 CVE-2004-0866 CVE-2004-0867 CVE-2004-0870 CVE-2004-1158 CVE-2004-1165 CVE-2005-0237 CVE-2005-4684 CVE-2006-3672 CVE-2007-0537 CVE-2007-1308 CVE-2007-1564 CVE-2007-1565 CVE-2007-2164 CVE-2007-3143 CVE-2007-3820 CVE-2007-4224 CVE-2007-4225 CVE-2007-4229 CVE-2007-6000 CVE-2007-6591 CVE-2008-4382 CVE-2008-5698 CVE-2008-5712 CVE-2009-2537 CVE-2009-4976
irssi/irssi,irssi,irssi,CVE-2002-0983 CVE-2002-1840 CVE-2003-1020 CVE-2006-0458 CVE-2007-4396 CVE-2007-4397 CVE-2007-4398 CVE-2007-4399 CVE-2009-1959 CVE-2010-1155 CVE-2010-1156 CVE-2016-7044 CVE-2016-7045 CVE-2017-10965 CVE-2017-10966 CVE-2017-15227 CVE-2017-15228 CVE-2017-15721 CVE-2017-15722 CVE-2017-15723 CVE-2017-5193 CVE-2017-5194 CVE-2017-5195 CVE-2017-5196 CVE-2017-5356 CVE-2017-7191 CVE-2017-9468 CVE-2017-9469 CVE-2018-5205 CVE-2018-5206 CVE-2018-5207 CVE-2018-5208 CVE-2018-7050 CVE-2018-7051 CVE-2018-7052 CVE-2018-7053 CVE-2018-7054 CVE-2019-13045 CVE-2019-15717 CVE-2019-5882
libesmtp/libESMTP,libesmtp,libesmtp,CVE-2002-1090
mantis/mantis,mantis,mantis,CVE-2002-1110 CVE-2002-1111 CVE-2002-1112 CVE-2002-1113 CVE-2002-1114 CVE-2002-1115 CVE-2002-1116 CVE-2003-0499 CVE-2004-1730 CVE-2004-1731 CVE-2004-1734 CVE-2004-2666 CVE-2005-2556 CVE-2005-2557 CVE-2005-3090 CVE-2005-3091 CVE-2005-3335 CVE-2005-3336 CVE-2005-3337 CVE-2005-3338 CVE-2005-3339 CVE-2005-4238 CVE-2005-4518 CVE-2005-4519 CVE-2005-4520 CVE-2005-4521 CVE-2005-4522 CVE-2005-4523 CVE-2005-4524 CVE-2006-0146 CVE-2006-0147 CVE-2006-0664 CVE-2006-0665 CVE-2006-0840 CVE-2006-0841 CVE-2006-1577 CVE-2006-6515 CVE-2006-6574 CVE-2007-6611 CVE-2008-0404 CVE-2008-3331 CVE-2008-3332 CVE-2008-3333 CVE-2008-4687 CVE-2008-4688 CVE-2008-4689
net-snmp/net-snmp,net-snmp,net-snmp,CVE-2002-1170 CVE-2003-0935 CVE-2005-1740 CVE-2005-2177 CVE-2005-2811 CVE-2005-4837 CVE-2006-6305 CVE-2007-5846 CVE-2008-0960 CVE-2008-2292 CVE-2008-4309 CVE-2008-6123 CVE-2009-1887 CVE-2012-2141 CVE-2012-6151 CVE-2014-2284 CVE-2014-2285 CVE-2014-2310 CVE-2014-3565 CVE-2015-5621 CVE-2015-8100 CVE-2018-1000116 CVE-2018-18065 CVE-2018-18066 CVE-2019-20892 CVE-2020-15861 CVE-2020-15862 CVE-2022-24805 CVE-2022-24806 CVE-2022-24807 CVE-2022-24808 CVE-2022-24809 CVE-2022-24810
apple/cups,apple,cups,CVE-2002-1372 CVE-2004-2154 CVE-2007-3387 CVE-2007-4045 CVE-2008-0053 CVE-2008-1033 CVE-2008-1374 CVE-2008-3639 CVE-2008-3640 CVE-2008-3641 CVE-2008-5183 CVE-2008-5184 CVE-2008-5286 CVE-2008-5377 CVE-2009-0032 CVE-2009-0146 CVE-2009-0147 CVE-2009-0163 CVE-2009-0164 CVE-2009-0166 CVE-2009-0195 CVE-2009-0577 CVE-2009-0791 CVE-2009-0799 CVE-2009-0800 CVE-2009-0949 CVE-2009-1179 CVE-2009-1180 CVE-2009-1181 CVE-2009-1182 CVE-2009-1183 CVE-2009-1196 CVE-2009-3553 CVE-2010-0302 CVE-2010-0393 CVE-2010-0542 CVE-2010-1748 CVE-2010-2431 CVE-2010-2432 CVE-2010-2941 CVE-2010-3702 CVE-2011-2896 CVE-2011-3170 CVE-2012-5519 CVE-2012-6094 CVE-2013-6891 CVE-2014-2856 CVE-2014-3537 CVE-2014-5029 CVE-2014-5030 CVE-2014-5031 CVE-2014-9679 CVE-2017-18190 CVE-2017-18248 CVE-2018-4300 CVE-2022-26691
geneweb/geneweb,geneweb,geneweb,CVE-2002-1390
dotproject/dotProject,dotproject,dotproject,CVE-2002-1428 CVE-2006-0754 CVE-2006-0755 CVE-2006-0756 CVE-2006-2851 CVE-2006-3240 CVE-2006-4234 CVE-2007-3226 CVE-2007-5486 CVE-2008-3886 CVE-2008-3887 CVE-2008-6747 CVE-2011-3729 CVE-2012-5701 CVE-2012-5702
scponly/scponly,scponly,scponly,CVE-2002-1469 CVE-2004-1162 CVE-2005-4532 CVE-2005-4533 CVE-2007-6350
newsx/newsx,newsx,newsx,CVE-2002-1789
drupal/drupal,drupal,drupal,CVE-2002-1806 CVE-2005-0682 CVE-2005-1871 CVE-2005-1921 CVE-2005-2106 CVE-2005-3973 CVE-2005-3974 CVE-2005-3975 CVE-2006-0070 CVE-2006-1225 CVE-2006-1226 CVE-2006-1227 CVE-2006-1228 CVE-2006-2260 CVE-2006-2742 CVE-2006-2743 CVE-2006-2831 CVE-2006-2832 CVE-2006-2833 CVE-2006-3570 CVE-2006-4002 CVE-2006-4120 CVE-2006-5475 CVE-2006-5476 CVE-2006-5477 CVE-2007-0124 CVE-2007-0136 CVE-2007-0626 CVE-2007-0658 CVE-2007-4063 CVE-2007-4064 CVE-2007-5416 CVE-2007-5593 CVE-2007-5594 CVE-2007-5595 CVE-2007-5596 CVE-2007-5597 CVE-2007-5621 CVE-2007-6299 CVE-2007-6752 CVE-2008-0272 CVE-2008-0273 CVE-2008-0274 CVE-2008-0276 CVE-2008-0462 CVE-2008-1131 CVE-2008-1133 CVE-2008-1729 CVE-2008-1731 CVE-2008-1792 CVE-2008-1978 CVE-2008-1980 CVE-2008-2629 CVE-2008-2771 CVE-2008-2998 CVE-2008-2999 CVE-2008-3218 CVE-2008-3219 CVE-2008-3220 CVE-2008-3221 CVE-2008-3222 CVE-2008-3223 CVE-2008-3661 CVE-2008-3740 CVE-2008-3741 CVE-2008-3742 CVE-2008-3743 CVE-2008-3744 CVE-2008-3745 CVE-2008-4633 CVE-2008-4710 CVE-2008-4789 CVE-2008-4790 CVE-2008-4791 CVE-2008-4792 CVE-2008-4793 CVE-2008-5996 CVE-2008-5998 CVE-2008-5999 CVE-2008-6020 CVE-2008-6134 CVE-2008-6135 CVE-2008-6137 CVE-2008-6170 CVE-2008-6171 CVE-2008-6383 CVE-2008-6413 CVE-2008-6532 CVE-2008-6533 CVE-2008-6835 CVE-2008-6836 CVE-2008-6908 CVE-2008-6909 CVE-2008-6910 CVE-2008-6972 CVE-2008-7150 CVE-2008-7151 CVE-2009-0382 CVE-2009-0603 CVE-2009-0817 CVE-2009-0818 CVE-2009-1035 CVE-2009-1036 CVE-2009-1037 CVE-2009-1047 CVE-2009-1069 CVE-2009-1249 CVE-2009-1342 CVE-2009-1343 CVE-2009-1344 CVE-2009-1501 CVE-2009-1505 CVE-2009-1507 CVE-2009-1575 CVE-2009-1576 CVE-2009-1738 CVE-2009-1823 CVE-2009-1844 CVE-2009-2074 CVE-2009-2075 CVE-2009-2076 CVE-2009-2077 CVE-2009-2078 CVE-2009-2079 CVE-2009-2083 CVE-2009-2237 CVE-2009-2291 CVE-2009-2370 CVE-2009-2371 CVE-2009-2372 CVE-2009-2373 CVE-2009-2374 CVE-2009-2572 CVE-2009-2610 CVE-2009-3121 CVE-2009-3122 CVE-2009-3156 CVE-2009-3157 CVE-2009-3206 CVE-2009-3207 CVE-2009-3210 CVE-2009-3350 CVE-2009-3351 CVE-2009-3352 CVE-2009-3353 CVE-2009-3354 CVE-2009-3363 CVE-2009-3435 CVE-2009-3437 CVE-2009-3442 CVE-2009-3479 CVE-2009-3488 CVE-2009-3568 CVE-2009-3648 CVE-2009-3650 CVE-2009-3651 CVE-2009-3652 CVE-2009-3653 CVE-2009-3654 CVE-2009-3656 CVE-2009-3657 CVE-2009-3778 CVE-2009-3779 CVE-2009-3780 CVE-2009-3782 CVE-2009-3783 CVE-2009-3784 CVE-2009-3785 CVE-2009-3786 CVE-2009-3914 CVE-2009-3915 CVE-2009-3916 CVE-2009-3917 CVE-2009-3918 CVE-2009-3919 CVE-2009-3920 CVE-2009-3921 CVE-2009-3922 CVE-2009-4042 CVE-2009-4043 CVE-2009-4044 CVE-2009-4061 CVE-2009-4062 CVE-2009-4063 CVE-2009-4064 CVE-2009-4065 CVE-2009-4066 CVE-2009-4119 CVE-2009-4207 CVE-2009-4296 CVE-2009-4369 CVE-2009-4370 CVE-2009-4371 CVE-2009-4429 CVE-2009-4513 CVE-2009-4514 CVE-2009-4515 CVE-2009-4516 CVE-2009-4517 CVE-2009-4518 CVE-2009-4520 CVE-2009-4524 CVE-2009-4525 CVE-2009-4526 CVE-2009-4527 CVE-2009-4528 CVE-2009-4532 CVE-2009-4533 CVE-2009-4534 CVE-2009-4557 CVE-2009-4558 CVE-2009-4559 CVE-2009-4602 CVE-2009-4771 CVE-2009-4772 CVE-2009-4773 CVE-2009-4829 CVE-2009-4990 CVE-2009-5096 CVE-2010-0370 CVE-2010-0697 CVE-2010-0752 CVE-2010-1074 CVE-2010-1107 CVE-2010-1108 CVE-2010-1303 CVE-2010-1358 CVE-2010-1362 CVE-2010-1530 CVE-2010-1536 CVE-2010-1539 CVE-2010-1543 CVE-2010-1584 CVE-2010-1958 CVE-2010-1976 CVE-2010-1984 CVE-2010-1998 CVE-2010-2000 CVE-2010-2001 CVE-2010-2002 CVE-2010-2021 CVE-2010-2030 CVE-2010-2048 CVE-2010-2123 CVE-2010-2125 CVE-2010-2158 CVE-2010-2250 CVE-2010-2352 CVE-2010-2353 CVE-2010-2471 CVE-2010-2472 CVE-2010-2473 CVE-2010-2724 CVE-2010-3091 CVE-2010-3092 CVE-2010-3093 CVE-2010-3094 CVE-2010-3423 CVE-2010-3685 CVE-2010-3686 CVE-2010-4519 CVE-2010-4520 CVE-2010-4521 CVE-2010-4775 CVE-2010-4813 CVE-2010-5275 CVE-2010-5276 CVE-2010-5277 CVE-2010-5312 CVE-2011-0771 CVE-2011-0899 CVE-2011-1066 CVE-2011-1661 CVE-2011-1662 CVE-2011-1663 CVE-2011-1664 CVE-2011-2687 CVE-2011-2714 CVE-2011-2715 CVE-2011-2726 CVE-2011-3730 CVE-2011-4113 CVE-2011-4560 CVE-2011-5030 CVE-2011-5187 CVE-2011-5188 CVE-2011-5189 CVE-2012-0825 CVE-2012-0826 CVE-2012-0827 CVE-2012-0914 CVE-2012-1056 CVE-2012-1057 CVE-2012-1060 CVE-2012-1588 CVE-2012-1589 CVE-2012-1590 CVE-2012-1591 CVE-2012-1623 CVE-2012-1624 CVE-2012-1625 CVE-2012-1626 CVE-2012-1627 CVE-2012-1628 CVE-2012-1629 CVE-2012-1630 CVE-2012-1631 CVE-2012-1632 CVE-2012-1633 CVE-2012-1634 CVE-2012-1635 CVE-2012-1636 CVE-2012-1638 CVE-2012-1639 CVE-2012-1640 CVE-2012-1641 CVE-2012-1642 CVE-2012-1643 CVE-2012-1644 CVE-2012-1645 CVE-2012-1647 CVE-2012-1648 CVE-2012-1649 CVE-2012-1650 CVE-2012-1651 CVE-2012-1652 CVE-2012-1653 CVE-2012-1654 CVE-2012-1655 CVE-2012-1656 CVE-2012-1657 CVE-2012-1658 CVE-2012-1659 CVE-2012-1660 CVE-2012-2056 CVE-2012-2057 CVE-2012-2058 CVE-2012-2059 CVE-2012-2060 CVE-2012-2061 CVE-2012-2062 CVE-2012-2063 CVE-2012-2064 CVE-2012-2065 CVE-2012-2066 CVE-2012-2067 CVE-2012-2068 CVE-2012-2069 CVE-2012-2070 CVE-2012-2071 CVE-2012-2072 CVE-2012-2073 CVE-2012-2074 CVE-2012-2075 CVE-2012-2076 CVE-2012-2077 CVE-2012-2080 CVE-2012-2081 CVE-2012-2083 CVE-2012-2084 CVE-2012-2096 CVE-2012-2097 CVE-2012-2116 CVE-2012-2117 CVE-2012-2153 CVE-2012-2154 CVE-2012-2155 CVE-2012-2296 CVE-2012-2297 CVE-2012-2298 CVE-2012-2299 CVE-2012-2300 CVE-2012-2302 CVE-2012-2303 CVE-2012-2304 CVE-2012-2305 CVE-2012-2306 CVE-2012-2307 CVE-2012-2308 CVE-2012-2309 CVE-2012-2310 CVE-2012-2339 CVE-2012-2340 CVE-2012-2341 CVE-2012-2702 CVE-2012-2703 CVE-2012-2704 CVE-2012-2705 CVE-2012-2706 CVE-2012-2707 CVE-2012-2708 CVE-2012-2710 CVE-2012-2711 CVE-2012-2712 CVE-2012-2713 CVE-2012-2715 CVE-2012-2716 CVE-2012-2717 CVE-2012-2718 CVE-2012-2719 CVE-2012-2720 CVE-2012-2721 CVE-2012-2722 CVE-2012-2723 CVE-2012-2725 CVE-2012-2726 CVE-2012-2727 CVE-2012-2728 CVE-2012-2729 CVE-2012-2730 CVE-2012-2731 CVE-2012-2907 CVE-2012-2922 CVE-2012-3798 CVE-2012-3799 CVE-2012-3800 CVE-2012-3802 CVE-2012-4468 CVE-2012-4469 CVE-2012-4470 CVE-2012-4471 CVE-2012-4472 CVE-2012-4473 CVE-2012-4474 CVE-2012-4475 CVE-2012-4476 CVE-2012-4477 CVE-2012-4478 CVE-2012-4479 CVE-2012-4482 CVE-2012-4483 CVE-2012-4484 CVE-2012-4485 CVE-2012-4486 CVE-2012-4487 CVE-2012-4488 CVE-2012-4489 CVE-2012-4490 CVE-2012-4491 CVE-2012-4492 CVE-2012-4493 CVE-2012-4494 CVE-2012-4495 CVE-2012-4496 CVE-2012-4497 CVE-2012-4498 CVE-2012-4499 CVE-2012-4500 CVE-2012-4553 CVE-2012-4554 CVE-2012-5007 CVE-2012-5233 CVE-2012-5537 CVE-2012-5538 CVE-2012-5539 CVE-2012-5540 CVE-2012-5541 CVE-2012-5542 CVE-2012-5543 CVE-2012-5544 CVE-2012-5545 CVE-2012-5547 CVE-2012-5548 CVE-2012-5549 CVE-2012-5550 CVE-2012-5551 CVE-2012-5552 CVE-2012-5553 CVE-2012-5554 CVE-2012-5556 CVE-2012-5557 CVE-2012-5569 CVE-2012-5584 CVE-2012-5585 CVE-2012-5586 CVE-2012-5587 CVE-2012-5588 CVE-2012-5589 CVE-2012-5590 CVE-2012-5591 CVE-2012-5651 CVE-2012-5652 CVE-2012-5653 CVE-2012-5654 CVE-2012-5655 CVE-2012-5704 CVE-2012-5705 CVE-2012-6065 CVE-2012-6572 CVE-2012-6573 CVE-2012-6574 CVE-2012-6575 CVE-2012-6576 CVE-2012-6582 CVE-2012-6583 CVE-2013-0181 CVE-2013-0182 CVE-2013-0205 CVE-2013-0206 CVE-2013-0207 CVE-2013-0224 CVE-2013-0225 CVE-2013-0227 CVE-2013-0244 CVE-2013-0245 CVE-2013-0246 CVE-2013-0257 CVE-2013-0258 CVE-2013-0259 CVE-2013-0260 CVE-2013-0316 CVE-2013-0317 CVE-2013-0318 CVE-2013-0319 CVE-2013-0320 CVE-2013-0321 CVE-2013-0322 CVE-2013-0323 CVE-2013-0324 CVE-2013-0325 CVE-2013-1393 CVE-2013-1778 CVE-2013-1779 CVE-2013-1780 CVE-2013-1781 CVE-2013-1782 CVE-2013-1783 CVE-2013-1784 CVE-2013-1785 CVE-2013-1786 CVE-2013-1787 CVE-2013-1859 CVE-2013-1887 CVE-2013-1905 CVE-2013-1906 CVE-2013-1907 CVE-2013-1908 CVE-2013-1946 CVE-2013-1971 CVE-2013-1972 CVE-2013-2036 CVE-2013-2122 CVE-2013-2123 CVE-2013-2129 CVE-2013-2158 CVE-2013-2177 CVE-2013-2197 CVE-2013-2247 CVE-2013-2715 CVE-2013-4138 CVE-2013-4139 CVE-2013-4140 CVE-2013-4174 CVE-2013-4177 CVE-2013-4178 CVE-2013-4229 CVE-2013-4230 CVE-2013-4272 CVE-2013-4274 CVE-2013-4379 CVE-2013-4380 CVE-2013-4383 CVE-2013-4384 CVE-2013-4445 CVE-2013-4446 CVE-2013-4498 CVE-2013-4502 CVE-2013-4504 CVE-2013-5315 CVE-2013-5937 CVE-2013-5938 CVE-2013-5964 CVE-2013-5965 CVE-2013-6385 CVE-2013-6386 CVE-2013-6387 CVE-2013-6388 CVE-2013-6389 CVE-2013-7067 CVE-2013-7302 CVE-2014-1475 CVE-2014-1476 CVE-2014-1607 CVE-2014-1611 CVE-2014-2983 CVE-2014-3704 CVE-2014-5019 CVE-2014-5020 CVE-2014-5021 CVE-2014-5022 CVE-2014-5265 CVE-2014-5266 CVE-2014-5267 CVE-2014-9015 CVE-2014-9016 CVE-2015-2559 CVE-2015-2749 CVE-2015-2750 CVE-2015-3231 CVE-2015-3232 CVE-2015-3233 CVE-2015-3234 CVE-2015-6658 CVE-2015-6659 CVE-2015-6660 CVE-2015-6661 CVE-2015-6665 CVE-2015-7880 CVE-2015-7943 CVE-2015-8095 CVE-2016-3162 CVE-2016-3163 CVE-2016-3164 CVE-2016-3165 CVE-2016-3166 CVE-2016-3167 CVE-2016-3168 CVE-2016-3169 CVE-2016-3170 CVE-2016-3171 CVE-2016-5385 CVE-2016-6211 CVE-2016-6212 CVE-2016-7570 CVE-2016-7571 CVE-2016-7572 CVE-2016-9449 CVE-2016-9450 CVE-2016-9451 CVE-2016-9452 CVE-2017-6377 CVE-2017-6379 CVE-2017-6381 CVE-2017-6919 CVE-2017-6920 CVE-2017-6921 CVE-2017-6922 CVE-2017-6923 CVE-2017-6924 CVE-2017-6925 CVE-2017-6926 CVE-2017-6927 CVE-2017-6928 CVE-2017-6929 CVE-2017-6930 CVE-2017-6931 CVE-2017-6932 CVE-2018-14773 CVE-2018-7600 CVE-2018-7602 CVE-2018-9861 CVE-2019-10909 CVE-2019-10910 CVE-2019-10911 CVE-2019-11358 CVE-2019-11831 CVE-2019-11876 CVE-2019-6338 CVE-2019-6339 CVE-2019-6340 CVE-2019-6341 CVE-2019-6342 CVE-2020-11022 CVE-2020-11023 CVE-2020-13662 CVE-2020-13663 CVE-2020-13664 CVE-2020-13665 CVE-2020-13666 CVE-2020-13667 CVE-2020-13668 CVE-2020-13669 CVE-2020-13670 CVE-2020-13671 CVE-2020-13672 CVE-2020-13674 CVE-2020-13675 CVE-2020-13676 CVE-2020-13677 CVE-2020-13688 CVE-2020-28948 CVE-2020-28949 CVE-2020-36193 CVE-2020-9281 CVE-2021-33829 CVE-2021-41164 CVE-2021-41165 CVE-2021-41182 CVE-2021-41183 CVE-2021-41184 CVE-2022-24728 CVE-2022-24729 CVE-2022-24775 CVE-2022-25270 CVE-2022-25271 CVE-2022-25273 CVE-2022-25274 CVE-2022-25275 CVE-2022-25276 CVE-2022-25277 CVE-2022-25278 CVE-2022-29248
alsaplayer/alsaplayer,alsaplayer,alsaplayer,CVE-2002-1896 CVE-2007-5301
pen/pen,pen,pen,CVE-2002-1957
nylon/nylon,nylon,nylon,CVE-2002-2124
Socks5/Socks5,socks5,socks5,CVE-2002-2367
plptools/plptools,plptools,plptools,CVE-2003-0074
file/file,file,file,CVE-2003-0102 CVE-2004-1304 CVE-2007-1536 CVE-2007-2799
GNOME/eog,gnome,eog,CVE-2003-0165 CVE-2008-5987
FirebirdSQL/firebird,firebirdsql,firebird,CVE-2001-0008 CVE-2003-0197 CVE-2003-0281 CVE-2004-0718 CVE-2004-0779 CVE-2004-1449 CVE-2004-2043 CVE-2006-1240 CVE-2006-1241 CVE-2006-7211 CVE-2006-7212 CVE-2006-7213 CVE-2006-7214 CVE-2007-2606 CVE-2007-3181 CVE-2007-3527 CVE-2007-4664 CVE-2007-4665 CVE-2007-4666 CVE-2007-4667 CVE-2007-4668 CVE-2007-4669 CVE-2007-4992 CVE-2007-5245 CVE-2007-5246 CVE-2008-0387 CVE-2008-0467 CVE-2009-2620 CVE-2012-5529 CVE-2013-2492 CVE-2014-9323 CVE-2016-1569 CVE-2017-11509 CVE-2017-6369
rinetd/rinetd,rinetd,rinetd,CVE-2003-0212
KDE/kopete,kde,kopete,CVE-2003-0256
